"","Year","IceOnDate","IceOnJulian","IceOffDate","IceOffJulian","AnnualMax","AnnualMin","AnnualRain","AnnualSnow","SnowDepth","SpringMax","SpringMin","SpringRain","SpringSnow","SummerMax","SummerMin","SummerRain","SummerSnow","FallMax","FallMin","FallRain","FallSnow","WinterMax","WinterMin","WinterRain","WinterSnow"
"13",1939,"",NA,"",NA,26.66666667,-23.33333333,199.332674279,46.539325724,1524,21.66666667,-21.11111111,41.277017576,20.190982424,26.66666667,-4.444444444,99.352219226,10.883780776,21.66666667,-15,58.685359836,5.576640166,8.888888889,-23.33333333,0.018077641,9.887922358
"14",1940,"",NA,"",NA,30,-40,102.09962789,65.540372108,914.4,20,-28.33333333,8.972413276,0.425586724,30,-2.777777778,44.636083178,4.385916806,25,-28.88888889,48.362925451,45.617074563,7.777777778,-40,0.128205985,15.111794015
"15",1941,"",NA,"",NA,26.11111111,-28.88888889,295.58213437,197.68586562,1879.6,18.88888889,-28.33333333,88.178416062,28.407583936,26.11111111,-2.777777778,162.693986182,0.882013864,17.77777778,-28.88888889,33.901888937,84.208111047,5,-27.77777778,10.807843189,84.188156773
"16",1942,"",NA,"",NA,27.77777778,-41.66666667,103.757936614392,270.130063427,1701.8,17.22222222,-30,44.428464107,88.159535951,27.77777778,-3.333333333,34.70014554,0.859854443,23.88888889,-21.11111111,24.338454564,103.169545446,5,-41.66666667,0.290872403392,77.941127587
"17",1943,"",NA,"",NA,26.66666667,-46.11111111,179.245791766,157.558208148,1295.4,18.33333333,-41.66666667,48.342609833,118.535390171,26.66666667,-4.444444444,85.888475696,11.647524217,22.22222222,-8.888888889,45.014706237,27.37529376,NA,-46.11111111,0,0
"18",1944,"",NA,"21-May",141,25.55555556,-28.33333333,215.117945663,76.220054365,1193.8,18.33333333,-6.111111111,25.803297745,14.328702251,25.55555556,-2.777777778,166.52564418,5.940355855,16.11111111,-25,22.648096873,33.739903125,3.333333333,-28.33333333,0.140906865,22.211093134
"19",1945,"",NA,"21-May",141,26.11111111,-35,325.051105885,308.170894162,1549.4,17.22222222,-31.66666667,55.452668863,88.31133117,26.11111111,-6.666666667,215.677925781,17.240074222,21.66666667,-22.22222222,51.466605271,89.503394689,2.777777778,-35,2.45390597,113.116094081
"20",1946,"",NA,"10-May",130,28.33333333,-31.66666667,202.850460983,258.667538981,1778,16.11111111,-23.33333333,36.914215926,69.003784073,28.33333333,-3.888888889,86.935422701,0.694577244,21.66666667,-20,74.57827752,81.631722508,5.555555556,-31.66666667,4.422544836,107.337455156
"21",1947,"",NA,"",NA,26.66666667,-37.77777778,257.259936848,223.308062859,1244.6,20,-35.55555556,22.687628245,78.912371755,26.66666667,-3.888888889,143.12850067,5.71549911,24.44444444,-25.55555556,90.011023507,86.518976447,6.666666667,-37.77777778,1.432784426,52.161215547
"22",1948,"",NA,"27-May",147,26.11111111,-42.77777778,174.919909591,326.73009045,990.6,17.77777778,-38.33333333,9.822972914,88.221027085,26.11111111,0,94.876435027,0.373564999,26.11111111,-28.33333333,67.008390523,73.199609375,5.555555556,-42.77777778,3.212111127,164.935888991
