,Year,IceOnDate,IceOnJulian,IceOffDate,IceOffJulian,AnnualMax,AnnualMin,AnnualRain,AnnualSnow,SnowDepth,SpringMax,SpringMin,SpringRain,SpringSnow,SummerMax,SummerMin,SummerRain,SummerSnow,FallMax,FallMin,FallRain,FallSnow,WinterMax,WinterMin,WinterRain,WinterSnow
76,2002,24-Dec,358,21-May,141,30.55555556,-35,219.0588838,247.7931162,1320.8,21.66666667,-33.33333333,41.35844317,101.3895568,28.88888889,-2.222222222,56.62302901,0.018971003,27.22222222,-21.11111111,49.19343003,67.13856997,6.666666667,-35,0.770606466,99.05139346
77,2003,11-Jan,376,23-May,143,33.33333333,-39.44444444,164.9536613,280.8163386,889,25.55555556,-24.44444444,42.02219379,106.3138062,30.55555556,-5.555555556,105.1705882,2.525411789,25,-22.22222222,71.75924592,44.82675416,3.888888889,-39.44444444,1.260656174,135.3913438
78,2004,11-Jan,376,5-May,125,26.66666667,-32.22222222,257.5011407,235.5128593,1041.4,17.77777778,-21.11111111,41.34471126,85.90928877,33.33333333,-6.111111111,79.2258042,2.308195736,27.22222222,-23.33333333,42.44500715,36.80299286,4.444444444,-32.22222222,0.46955175,98.0824482
79,2005,28-Dec,362,21-May,141,29.44444444,-30.55555556,239.0836728,268.1543271,1905,18.88888889,-20.55555556,32.77675816,59.93324184,26.66666667,-4.444444444,163.0138696,4.626130453,22.77777778,-26.11111111,52.6730081,46.89499191,7.777777778,-30.55555556,0.703122433,115.6288775
80,2006,17-Dec,351,18-May,138,29.44444444,-35,186.9487272,221.9912731,1701.8,21.11111111,-29.44444444,26.75230432,75.8636957,29.44444444,-4.444444444,155.7608848,23.81711507,24.44444444,-22.22222222,49.84290736,68.77509262,5.555555556,-35,1.278999042,113.529001
81,2007,27-Dec,361,11-May,131,29.44444444,-37.77777778,115.5213248,152.9566753,NA,22.77777778,-15.55555556,29.94311057,54.38488942,29.44444444,-3.888888889,125.2008152,0.78318503,25,-16.66666667,33.71660868,31.81539132,7.777777778,-37.77777778,0.758499752,77.72750037
82,2008,3-Jan,368,2-Jun,153,30.55555556,-33.33333333,156.2768606,332.9271393,1803.4,18.33333333,-23.88888889,64.73544798,116.620552,29.44444444,-3.333333333,54.09785812,0.004141875,26.66666667,-19.44444444,30.72185633,20.84014364,3.333333333,-33.33333333,0.424293267,160.6117067
83,2009,27-Dec,361,27-May,147,28.33333333,-30.55555556,205.1014586,307.4705413,1168.4,21.11111111,-23.88888889,22.18161865,146.9823814,30.55555556,-5,69.20301896,29.09498102,22.22222222,-22.77777778,21.91410043,26.59989963,4.444444444,-30.55555556,1.368497691,81.43550232
84,2010,4-Jan,369,4-Jun,155,27.77777778,-34.44444444,139.0488216,352.9491782,1574.8,16.66666667,-20.55555556,39.41808925,110.6959108,28.33333333,-2.777777778,161.6522118,10.81378813,24.44444444,-21.11111111,19.89913053,68.23886945,3.888888889,-34.44444444,0.606015411,128.6799845
85,2011,14-Dec,348,12-Jun,163,27.77777778,-35,142.6566209,347.3093788,1600.2,13.88888889,-22.22222222,56.18462543,124.6633746,27.77777778,-3.333333333,71.80063011,2.875369753,24.44444444,-27.22222222,27.22408684,110.6979132,6.111111111,-35,2.387507285,147.4724927
86,2012,30-Dec,364,17-May,137,27.77777778,-26.11111111,191.7459759,335.5580241,1295.4,21.11111111,-22.22222222,66.55053716,98.04146284,27.77777778,-0.555555556,34.03207957,0.003920258,23.88888889,-20.55555556,50.05240862,75.16959132,2.222222222,-26.11111111,3.860687896,171.1453122
87,2013,5-Jan,370,17-May,137,27.77777778,-30.55555556,236.8419111,268.6180889,1320.8,20.55555556,-25.55555556,56.95564134,98.74635865,27.77777778,-3.333333333,79.72131853,0.288681395,23.33333333,-18.33333333,41.61343229,66.08256771,2.222222222,-30.55555556,0.420852352,90.25714751
88,2014,31-Dec,365,31-May,151,26.11111111,-34.44444444,320.9593324,369.9206676,1320.8,21.66666667,-20,47.36381682,164.9801832,27.77777778,-3.333333333,78.31597143,0.170028657,25,-18.33333333,101.149446,79.44455404,8.333333333,-34.44444444,1.202675912,150.689324
89,2015,27-Dec,361,6-May,126,27.77777778,-30,298.6479178,220.5280821,1625.6,16.66666667,-27.77777778,84.66757658,43.8564234,26.11111111,-2.222222222,197.3849994,2.005000571,22.77777778,-26.66666667,75.00784024,52.24615985,7.222222222,-30,4.213543747,134.7244563
90,2016,31-Dec,351,9-May,129,27.22222222,-30.55555556,276.431452,261.2865478,1524,17.77777778,-25.55555556,65.3363404,71.06165963,27.77777778,-1.111111111,116.9635231,0.130476803,23.33333333,-20.55555556,92.80327441,41.8167256,7.777777778,-30.55555556,1.612577235,113.4494227
91,2017,22-Dec,356,23-May,143,27.77777778,-32.77777778,262.2230484,488.6009515,1600.2,18.33333333,-16.66666667,59.07852727,101.9574727,27.22222222,-1.111111111,55.90640803,1.243591963,24.44444444,-16.11111111,153.5761264,75.5318736,5.555555556,-32.77777778,8.787924212,226.6700758
