Year,MinJan,MaxJan,PrecipJan,MinFeb,MaxFeb,PrecipFeb,MinMar,MaxMar,PrecipMar,MinApr,MaxApr,PrecipApr,MinMay,MaxMay,PrecipMay,MinJun,MaxJun,PrecipJun,MinJul,MaxJul,PrecipJul,MinAug,MaxAug,PrecipAug,MinSep,MaxSep,PrecipSep,MinOct,MaxOct,PrecipOct,MinNov,MaxNov,PrecipNov,MinDec,MaxDec,PrecipDec,MaxSnowDepth_cm
1940,-57.8,17.2,0,-32.8,23.2,0,-36.8,33.2,0,-12.8,39.2,0,-1.8,50.2,0.9398,9.2,62.2,2.9972,10.2,63.2,0.8382,10.2,68.2,1.0922,10.2,59.2,4.2672,4.2,47.2,1.1684,-37.8,26.2,3.9624,-37.8,28.2,1.524,104
1941,-35.8,17.2,1.9812,-35.8,23.2,0,-36.8,31.2,1.0668,-22.8,37.2,0,-6.8,48.2,10.5918,9.2,58.2,3.9878,18.2,60.2,2.7432,14.2,61.2,9.6266,1.2,46.2,3.7084,0,0,0,-37.8,25.2,8.2296,-29.8,22.2,7.5184,84
1942,-60.8,23.2,2.9464,-60.8,12.2,3.429,-39.8,27.2,2.032,-14.8,38.2,3.9878,-3.8,45.2,7.366,8.2,47.2,1.6764,13.2,64.2,1.9304,0,0,0,0.2,57.2,1.6002,-8.8,47.2,1.8796,-23.8,28.2,10.0838,-39.8,21.2,4.3942,102
1943,-68.8,0,16.4592,-42.8,0,3.7338,-60.8,27.2,4.5466,-7.8,41.2,7.0612,-17.8,47.2,6.2992,6.2,55.2,3.937,11.2,62.2,2.2098,8.2,62.2,3.6068,0.2,54.2,2.2352,-1.8,47.2,6.3754,0,0,0,0,0,0,208
1944,0,0,0,0,0,0,0,0,0,0,0,0,3.2,47.2,4.0132,10.2,53.2,10.8458,20.2,58.2,5.969,9.2,60.2,0.508,0,0,5.0038,-0.8,43.2,2.2606,-30.8,30.2,3.9878,-36.8,20.2,2.2352,38
1945,-35.8,19.2,1.8796,-48.8,19.2,4.3942,-39.8,34.2,3.9624,-42.8,36.2,3.2766,-0.8,45.2,7.1374,2.2,54.2,10.8458,6.2,61.2,3.2766,2.2,61.2,10.0076,-6.8,53.2,7.1628,-14.8,45.2,2.9972,-25.8,26.2,5.1308,-47.8,18.2,5.4356,99
1946,-39.8,17.2,3.6068,-41.8,24.2,2.286,-27.8,33.2,5.6134,-10.8,42.2,2.2098,-1.8,43.2,3.4036,7.2,57.2,1.4224,13.2,65.2,4.3688,7.2,63.2,3.8608,-0.8,53.2,5.1308,-11.8,42.2,7.493,-21.8,31.2,3.1242,-42.8,22.2,5.4102,109
1947,-53.8,15.2,2.9972,-48.8,26.2,2.3622,-49.8,31.2,4.9784,-28.8,40.2,3.429,2.2,50.2,1.7526,7.2,51.2,6.9342,8.2,62.2,3.0734,8.2,61.2,4.8768,4.2,58.2,6.9596,-1.8,45.2,2.6924,-31.8,42.2,8.001,0,0,0,124
1948,-62.8,19.2,4.572,-52.8,24.2,4.1656,-54.8,23.2,4.318,-26.8,38.2,5.1308,-1.8,46.2,0.3556,14.2,55.2,3.9878,16.2,59.2,3.429,15.2,61.2,3.175,1.2,61.2,4.7498,-9.8,47.2,2.3876,-36.8,26.2,6.9596,-49.8,14.2,8.0772,137
1949,-54.8,10.2,2.8956,-58.8,20.2,7.4168,-39.8,28.2,4.826,-27.8,39.2,2.2606,2.2,48.2,2.921,8.2,55.2,7.493,9.2,62.2,1.4732,12.2,65.2,2.413,2.2,53.2,5.8928,-7.8,42.2,5.6896,-16.8,45.2,3.6068,-33.8,20.2,4.6736,132
1950,-48.8,20.2,11.0236,-54.8,29.2,4.2672,-38.8,26.2,6.0198,-28.8,37.2,4.2418,-10.8,42.2,4.1656,3.2,58.2,6.3754,8.2,58.2,6.3754,10.2,58.2,1.3462,1.2,65.2,6.8326,-7.8,46.2,5.3594,-37.8,29.2,4.7752,-32.8,22.2,2.8702,130
1951,-66.8,19.2,5.588,-63.8,28.2,3.2766,-50.8,29.2,5.461,-16.8,35.2,2.0828,-1.8,47.2,5.2832,-3.8,49.2,5.8674,9.2,62.2,6.4516,12.2,59.2,10.2362,2.2,51.2,0.8128,-19.8,48.2,6.6548,-33.8,27.2,1.8034,-37.8,19.2,6.1214,130
1952,-44.8,16.2,5.842,-50.8,22.2,4.6228,-47.8,24.2,4.2926,-29.8,47.2,1.9558,2.2,46.2,4.826,8.2,54.2,5.0038,5.2,58.2,7.0104,7.2,57.2,5.0292,-1.8,54.2,0.889,-5.8,50.2,0,-37.8,31.2,0.635,-33.8,23.2,4.5212,142
